ppm,intensity
14.812220854968162,3973.75
14.811907232510494,3714.5
14.811593610052826,3436.25
14.811279987595158,4957.0
14.81096636513749,6519.5
14.810652742679823,6656.25
14.810339120222155,6550.25
14.810025497764487,6715.0
14.809711875306819,5614.5
14.809398252849151,4682.25
14.809084630391483,4274.75
14.808771007933816,4224.5
14.808457385476148,4980.0
14.80814376301848,5695.0
14.80783014056081,5684.5
14.807516518103142,6259.5
14.807202895645474,7308.25
14.806889273187807,7493.25
14.806575650730139,5836.0
14.80626202827247,4041.0
14.805948405814803,4204.0
14.805634783357135,5397.25
14.805321160899467,5597.5
14.8050075384418,6210.75
14.804693915984132,6442.25
14.804380293526464,5688.25
14.804066671068796,5332.75
14.803753048611128,6564.0
14.80343942615346,6305.25
14.803125803695792,5301.25
14.802812181238124,4794.25
14.802498558780457,3639.5
14.802184936322789,3299.0
14.80187131386512,3035.5
14.801557691407453,2255.0
14.801244068949785,2433.25
14.800930446492117,2966.25
14.80061682403445,3686.0
14.800303201576781,4284.75
14.799989579119114,3700.75
14.799675956661446,3227.5
14.799362334203778,3213.5
14.79904871174611,3505.0
14.798735089288442,3145.5
14.798421466830773,3060.25
14.798107844373105,3351.25
14.797794221915437,3856.5
14.797480599457769,4894.0
14.797166977000101,5343.75
14.796853354542433,4448.25
14.796539732084765,4627.25
14.796226109627098,4867.5
14.79591248716943,4802.5
14.795598864711762,3852.5
14.795285242254094,2816.5
14.794971619796426,2923.25
14.794657997338758,3782.5
14.79434437488109,4130.0
14.794030752423422,4165.25
14.793717129965755,3949.0
14.793403507508087,3301.0
14.793089885050419,2799.0
14.792776262592751,3038.25
14.792462640135083,3819.0
14.792149017677415,4662.25
14.791835395219747,4024.75
